date,home_team,away_team,odds_1,odds_x,odds_2,odds_1_open,odds_x_open,odds_2_open
2026-06-11,Mexico,South Africa,1.4348,4.3,8.5,,,
2026-06-12,Canada,Bosnia and Herzegovina,1.8696,3.5,4.5,,,
2026-06-12,South Korea,Czech Republic,2.6,3.1,3.0,,,
2026-06-13,Brazil,Morocco,1.6667,3.65,5.75,,,
2026-06-13,Qatar,Switzerland,16.0,7.0,1.1905,,,
2026-06-13,United States,Paraguay,2.05,3.2,4.1,,,
2026-06-14,Australia,Turkey,5.25,3.7,1.7407,,,
2026-06-14,Germany,Curaçao,1.0333,16.0,29.0,1.025,17.0,29.0
2026-06-14,Haiti,Scotland,5.25,4.2,1.625,,,
2026-06-14,Ivory Coast,Ecuador,3.25,3.0,2.5,3.25,2.85,2.6
2026-06-14,Netherlands,Japan,2.1,3.3,3.5,2.05,3.35,3.55
2026-06-15,Belgium,Egypt,1.5714,4.0,5.75,1.6061,3.9,5.5
2026-06-15,Saudi Arabia,Uruguay,8.5,4.5,1.4255,8.0,4.5,1.4444
2026-06-15,Spain,Cape Verde,1.1,11.0,21.0,1.1,12.0,23.0
2026-06-15,Sweden,Tunisia,1.9091,3.4,4.5,1.9524,3.4,4.2
2026-06-16,France,Senegal,1.4651,4.6,7.0,1.4762,4.4,7.0
2026-06-16,Iran,New Zealand,1.8696,3.45,4.5,1.8333,3.45,4.8
2026-06-16,Iraq,Norway,14.0,6.5,1.2222,15.0,7.0,1.1905
2026-06-17,Argentina,Algeria,1.4348,4.5,8.0,1.3922,4.6,9.5
2026-06-17,Austria,Jordan,1.3922,4.8,9.0,1.3448,5.25,9.0
2026-06-17,England,Croatia,1.6452,3.85,5.5,1.7143,3.8,4.9
2026-06-17,Ghana,Panama,2.35,3.2,3.25,2.2,3.45,3.4
2026-06-17,Portugal,DR Congo,1.2857,5.5,12.0,1.2857,5.75,11.0
2026-06-18,Canada,Qatar,1.2941,5.5,11.0,1.2778,5.75,11.0
2026-06-18,Czech Republic,South Africa,1.8,3.55,4.9,1.7692,3.75,4.9
2026-06-18,Switzerland,Bosnia and Herzegovina,1.5556,4.1,6.0,1.6061,4.1,5.75
2026-06-18,Uzbekistan,Colombia,11.0,5.5,1.303,9.0,4.7,1.3922
2026-06-19,Mexico,South Korea,2.05,3.15,4.2,2.0,3.35,4.1
2026-06-19,Scotland,Morocco,5.75,3.7,1.6667,4.9,3.55,1.8
2026-06-19,United States,Australia,1.5882,4.2,5.75,1.5882,4.3,5.5
